City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
327,Rapid Valley,US,53.2,clear sky,44.0625,-103.1463,Fairfield Inn & Suites by Marriott Rapid City
332,Bastia,FR,55.2,clear sky,42.6667,9.3333,Hotel Santa Maria
337,Lagoa,PT,58.41,clear sky,39.05,-27.9833,Casa Das Faias
340,Hurghada,EG,59.2,clear sky,27.2574,33.8129,Sea Star Beau Rivage Hotel
342,Ramona,US,62.76,overcast clouds,33.0417,-116.8681,Ramona Valley Inn by Lotus Signature Hotels
345,Marawi,PH,68.65,scattered clouds,7.9986,124.2928,Derogongan Residence
347,Lalibela,ET,62.47,few clouds,12.0333,39.0333,Honey Land Hotel Lalibela
351,Los Llanos De Aridane,ES,64.15,few clouds,28.6585,-17.9182,Valle Aridane
353,Akyab,MM,61.74,clear sky,20.15,92.9,Hotel Memory
354,La Seyne-Sur-Mer,FR,54.45,clear sky,43.0982,5.8847,La Frégate
355,Princeton,US,58.01,clear sky,25.5384,-80.4089,American Best Inn
358,Dwarka,IN,69.64,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
360,Praia Da Vitoria,PT,63.75,broken clouds,38.7333,-27.0667,Hotel Branco I
370,Youghal,IE,50.02,few clouds,51.95,-7.8506,Quality Hotel and Leisure Centre Youghal
381,Hun,LY,53.89,broken clouds,29.1268,15.9477,Alrwasi Hotel
384,Capitola,US,60.03,clear sky,36.9752,-121.9533,Fairfield Inn & Suites by Marriott Santa Cruz - Capitola
391,Riyadh,SA,57.34,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
397,Toledo,ES,62.89,clear sky,39.8333,-4.0,Hotel Carlos V Toledo
399,Winchester,GB,54.97,broken clouds,51.0651,-1.3187,"The Wykeham Arms, Winchester"
406,Gat,IL,52.48,scattered clouds,31.61,34.7642,OlusHome
409,Tijuana,MX,66.2,broken clouds,32.5333,-117.0167,Hotel Pueblo Amigo
417,Bisho,ZA,65.73,broken clouds,-32.8472,27.4422,Bisho Park bnb
433,Galveston,US,58.03,clear sky,29.3669,-94.9669,Comfort Inn & Suites Texas City
439,Chor,PK,68.07,clear sky,25.5167,69.7667,Asad U Bajeer Hotel
442,Tarpon Springs,US,54.01,scattered clouds,28.1461,-82.7568,"Innisbrook, A Salamander Golf and Spa Resort"
446,Codrington,AU,62.53,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
452,Mecca,SA,68.49,scattered clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
456,Jampur,PK,60.46,few clouds,29.6441,70.5954,Qrzi Sultan
466,Chuncheng,CN,54.41,overcast clouds,22.1731,111.7886,7Days Inn Yangjiang Yangchun Bus Terminal
468,Vila,PT,50.88,clear sky,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
472,Den Helder,NL,51.03,broken clouds,52.9599,4.7593,Hotel Den Helder
473,Waitati,NZ,59.81,light rain,-45.75,170.5667,Arden Country House BnB Dunedin
479,Nishihara,JP,62.65,light rain,26.1842,127.7558,Minshuku Agaihama
481,Tumut,AU,69.62,overcast clouds,-35.3,148.2167,Amaroo Motel
484,Jobat,IN,65.26,clear sky,22.4167,74.5667,Singh house
485,Suluq,LY,54.46,overcast clouds,31.6682,20.2521,ورشة الحضيري لاكترونات وخدمات النت
486,San Buenaventura,MX,53.47,scattered clouds,27.0833,-101.5333,Hotel Gran Plaza
487,Lubango,AO,66.22,overcast clouds,-14.9172,13.4925,Hotel Serra da Chela
492,Aras,ES,50.41,clear sky,42.5617,-2.356,Jardines de Viana Spa
493,Waddan,LY,53.35,scattered clouds,29.1614,16.139,محل الشريف محمد العايب
494,Pacific Grove,US,59.58,clear sky,36.6177,-121.9166,Lovers Point Inn
496,Australind,AU,67.05,broken clouds,-33.2667,115.7167,ON THE ESTUARY
498,Jati,PK,68.77,clear sky,24.3539,68.2671,Cafe Lala Rehan Restaurant
499,Netanya,IL,53.62,broken clouds,32.3329,34.8599,King Koresh Hotel
511,Teguise,ES,62.82,haze,29.0605,-13.564,B&B La Casona de Nazaret
521,San Luis De La Paz,MX,53.62,overcast clouds,21.3,-100.5167,Hotel Real San Luis
527,Tyler,US,53.29,clear sky,32.3513,-95.3011,The Woldert-Spence Manor
